,,,insample,outOfSample,PnL,PPN
BTC,2e-05,2022-08-19,0.07978482589405045,-0.029702176035382832,289.82173485994633,8.624902917163151e-05
BTC,2e-05,2022-08-20,0.049292120665701655,0.07754864685975382,424.19304089032494,0.00018439774810818327
BTC,2e-05,2022-08-21,0.05085729606810274,-0.005688612089103096,366.1291014030943,0.00014761090998115548
BTC,2e-05,2022-08-22,0.04984507390948878,0.08678367255560615,422.14283658033594,0.00019011827905888662
BTC,5e-05,2022-08-08,0.05343353361335079,0.03939928371355994,392.9680694582005,0.00013274186018434714
BTC,5e-05,2022-08-09,0.054373176304222226,0.10588241711453872,176.82456364984444,6.59749618119441e-05
BTC,5e-05,2022-08-10,0.05602109592622451,0.07824286553632809,689.1104535436166,0.00021530065237918982
BTC,5e-05,2022-08-11,0.06144343481309733,0.06841296482056147,298.9415259814543,0.0001009835600682123
BTC,5e-05,2022-08-12,0.06444547043099513,0.07228125046603173,301.69026620519236,0.00010330791068976551
BTC,5e-05,2022-08-13,0.07364755273187062,0.06187310682473712,231.73463215625523,7.723891107520303e-05
BTC,5e-05,2022-08-14,0.07835983126302526,0.10964761038805837,395.3575800126918,0.00013354891231010392
BTC,5e-05,2022-08-15,0.07667723674318638,0.04198711152621659,414.8054061792772,0.0001373339203068484
BTC,5e-05,2022-08-16,0.07207770176430495,0.06786591438155953,342.13219285070704,0.00010894742625122876
BTC,5e-05,2022-08-17,0.07648894226787606,0.1483424814803631,789.0037218625101,0.00028578921489430813
BTC,5e-05,2022-08-18,0.07580786984450183,0.07647409542061934,290.45214409884943,0.00010446827376429651
BTC,5e-05,2022-08-19,0.07689199419516612,-0.02795327880144738,208.69737299616386,7.29657850449323e-05
BTC,5e-05,2022-08-20,0.047988929012814596,0.08064344471119822,408.6236312899183,0.00014285498509341313
BTC,5e-05,2022-08-21,0.05085729606810274,-0.005688612089103096,366.1291014030943,0.00014761090998115548
BTC,5e-05,2022-08-22,0.048963010025808495,0.09135436381636275,454.1976076331522,0.0001707218293934853
BTC,0.0001,2022-08-08,0.05343353361335079,0.03939928371355994,392.9680694582005,0.00013274186018434714
BTC,0.0001,2022-08-09,0.054373176304222226,0.10588241711453872,176.82456364984444,6.59749618119441e-05
BTC,0.0001,2022-08-10,0.05602109592622451,0.07824286553632809,689.1104535436166,0.00021530065237918982
BTC,0.0001,2022-08-11,0.06144343481309733,0.06841296482056147,298.9415259814543,0.0001009835600682123
BTC,0.0001,2022-08-12,0.06444547043099513,0.07228125046603173,301.69026620519236,0.00010330791068976551
BTC,0.0001,2022-08-13,0.07364755273187062,0.06187310682473712,231.73463215625523,7.723891107520303e-05
BTC,0.0001,2022-08-14,0.07835983126302526,0.10964761038805837,395.3575800126918,0.00013354891231010392
BTC,0.0001,2022-08-15,0.07667723674318638,0.04198711152621659,414.8054061792772,0.0001373339203068484
BTC,0.0001,2022-08-16,0.07207770176430495,0.06786591438155953,342.13219285070704,0.00010894742625122876
BTC,0.0001,2022-08-17,0.07648894226787606,0.1483424814803631,789.0037218625101,0.00028578921489430813
BTC,0.0001,2022-08-18,0.07580786984450183,0.07647409542061934,290.45214409884943,0.00010446827376429651
BTC,0.0001,2022-08-19,0.07689199419516612,-0.02795327880144738,208.69737299616386,7.29657850449323e-05
BTC,0.0001,2022-08-20,0.04600847371553063,0.08211725804228853,417.17357201590863,0.0001390385229395487
BTC,0.0001,2022-08-21,0.0480201776184882,0.0011490276408085975,317.0480364469119,0.00010096051818880939
BTC,0.0001,2022-08-22,0.04738449324882399,0.09217469940350886,420.9354820903011,0.00015139271781426007
BTC,0.0002,2022-08-08,0.047170154096097816,0.035829230064089446,341.4460139737874,0.00010872894551233713
BTC,0.0002,2022-08-09,0.048024908286809165,0.061176444235776506,163.74646551004068,6.109569451716627e-05
BTC,0.0002,2022-08-10,0.048587990461287034,0.07050060744209474,709.6670904007929,0.00022311595985746502
BTC,0.0002,2022-08-11,0.05462628014501203,0.04989671172708143,255.16532869175435,8.737775099972608e-05
BTC,0.0002,2022-08-12,0.0578721969207312,0.05512537219332403,192.80326505987767,7.193634160385822e-05
BTC,0.0002,2022-08-13,0.06722289925708758,0.042637927293377564,144.4611586478961,5.272027102790481e-05
BTC,0.0002,2022-08-14,0.07242513233961578,0.08714449511838063,387.47061105789294,0.00012183125944193428
BTC,0.0002,2022-08-15,0.06704141744117376,0.01735389502542728,320.5335517887031,0.00010338722990731978
BTC,0.0002,2022-08-16,0.059937981605424184,0.04028538551731509,341.6406407990724,0.00010608832196173171
BTC,0.0002,2022-08-17,0.06384492766801908,0.1361346565728141,721.0802188675747,0.0002556368383688699
BTC,0.0002,2022-08-18,0.06109838687927349,0.05359082863169751,156.24711391927116,5.7440492282400715e-05
BTC,0.0002,2022-08-19,0.07689199419516612,-0.02795327880144738,208.69737299616386,7.29657850449323e-05
